Bs_Name ,I_Name ,I_x ,I_y ,J_Name,J_x,J_y
西南.宾叙一线,国调.宜宾换流站,3446.87,3598,西南.叙府,3395,3559
国调.溪宾III线,国调.宜宾换流站,3446.87,3598,国调.溪洛渡左岸电厂,3319,3598
四川.平叙一线,西南.叙府,3395,3559,四川.新平Ⅱ厂,3348,3548
四川.沐叙一线,西南.叙府,3395,3559,西南.沐溪,3357,3520
四川.戎叙二线,西南.叙府,3395,3559,四川.戎州厂,3434,3707
西南.叙泸一线,西南.叙府,3395,3559,西南.泸州,3522,3556
四川.洪泸一线,西南.泸州,3522,3556,西南.洪沟,3452,3483
四川.洪内二线,西南.洪沟,3452,3483,四川.内江,3407,3443
西南.洪板二线,西南.洪沟,3452,3483,重庆.板桥站,3650,3526
四川.普洪二线,西南.洪沟,3452,3483,西南.普提,3208,3714
四川.洪遂线,西南.洪沟,3452,3483,四川.遂宁,3535,3347
四川.南遂线,四川.遂宁,3535,3347,四川.南充,3617,3323
四川.南谭一线,四川.南充,3617,3323,西南.谭家湾,3386,3242
四川.南黄一线,四川.南充,3617,3323,西南.黄岩,3670,3378
四川.巴南线,四川.南充,3617,3323,四川.临巴厂,3722,3321
四川.茂谭一线,西南.谭家湾,3386,3242,四川.茂县,3422,3190
国调.德宝直流极1线路,国调.宝鸡换流站,3755,2829,国调.德阳换流站,3471,3241
西南.谭德二线,西南.谭家湾,3386,3242,国调.德阳换流站,3471,3241
四川.谭邡一线,西南.谭家湾,3386,3242,四川.什邡,3320,3199
四川.谭龙二线,西南.谭家湾,3386,3242,四川.龙王,3384,3169
四川.谭乐一线,西南.谭家湾,3386,3242,四川.富乐,3434,3215
四川.资内一线,四川.内江,3407,3443,西南.资阳,3437,3415
四川.云内线,四川.内江,3407,3443,四川.云潭二期,3380,3468
四川.坡资一线,西南.资阳,3437,3415,四川.东坡,3382,3380
西南.资思Ⅰ线,西南.资阳,3437,3415,重庆.思源站,3819,3350
四川.桃龙一线,四川.龙王,3384,3169,四川.桃乡,3435,3307
四川.桃资一线,西南.资阳,3437,3415,四川.桃乡,3435,3307
四川.山桃一线,四川.桃乡,3435,3307,四川.尖山,3358,3305
四川.广山二线,四川.尖山,3358,3305,四川.广都,3412,3348
四川.雅山一线,四川.尖山,3358,3305,四川.雅安,3255,3412
四川.山彭一线,四川.尖山,3358,3305,四川.彭祖,3374,3340
四川.坡彭二线,四川.东坡,3382,3380,四川.彭祖,3374,3340
四川.雅蜀一线,四川.雅安,3255,3412,四川.蜀州,3278,3350
四川.广蜀一线,四川.广都,3412,3348,四川.蜀州,3278,3350
四川.大雅二线,四川.雅安,3255,3412,四川.大岗山厂,3415,3412
四川.石雅一线,四川.雅安,3255,3412,四川.石棉,3161,3465
四川.九石二线,四川.石棉,3161,3465,四川.九龙,3274,3462
四川.龙石线,四川.石棉,3161,3465,四川.龙头石厂,3034.64,3457.44
四川.甘蜀一线,四川.蜀州,3278,3350,四川.甘谷地,3026.9,3311
四川.景邡二线,四川.什邡,3320,3199,四川.丹景,3335,3088
四川.蜀景一线,四川.蜀州,3278,3350,四川.丹景,3335,3088
四川.康蜀四线,四川.蜀州,3278,3350,四川.康定,3132,3396
四川.康甘一线,四川.甘谷地,3026.9,3311,四川.康定,3132,3396
西南.榄普一线,西南.普提,3208,3714,西南.橄榄,3154,3798
西南.二榄一线,西南.橄榄,3154,3798,西南.二滩厂,3188,3837
西南.二普一线,西南.普提,3208,3714,西南.二滩厂,3188,3837
国调.月锦I线,国调.锦屏换流站,3135,3742,国调.月城,3048,3714
西南.城沐一线,西南.沐溪,3357,3520,国调.月城,3048,3714
西南.月普一线,西南.普提,3208,3714,国调.月城,3048,3714
四川.普天线,西南.普提,3208,3714,国调.南天,3316,3503
四川.天坡一线,四川.东坡,3382,3380,国调.南天,3316,3503
国调.官月II线,国调.月城,3048,3714,国调.官地电厂,3021,3799
四川.里月一线,国调.月城,3048,3714,四川.木里,3096,3831
四川.卡里线,四川.木里,3096,3831,四川.卡基娃厂,3138,3878
四川.水里二线,四川.木里,3096,3831,四川.水洛,3095,3913
西南.泉榄二线,西南.橄榄,3154,3798,西南.甘泉,3127,3826
西南.二石二线,西南.二滩厂,3188,3837,西南.石板箐,3187,3891
西南.石泉一线,西南.甘泉,3127,3826,西南.石板箐,3187,3891
国调.东锦II线,国调.锦屏换流站,3135,3742,国调.锦东电厂,3175,3776
国调.东天I线,国调.南天,3316,3503,国调.锦东电厂,3175,3776
国调.西锦III线,国调.锦屏换流站,3135,3742,国调.锦西电厂,3078,3780
四川.乡水二线,四川.水洛,3095,3913,四川.乡城,2968,3626
国调.复奉直流极1线路,国调.奉贤换流站,5348,3223,国调.复龙换流站,3867.37,3603.44
国调.宾复II线,国调.宜宾换流站,3446.87,3598,国调.复龙换流站,3867.37,3603.44
西南.泸复一线,西南.泸州,3522,3556,国调.复龙换流站,3867.37,3603.44
西南.黄万二线,西南.黄岩,3670,3378,重庆.万县站,3713,3473
四川.黄达一线,西南.黄岩,3670,3378,四川.达州,3781,3256
四川.巴达线,四川.临巴厂,3722,3321,四川.达州,3781,3256
重庆.板泉二线,重庆.板桥站,3650,3526,重庆.圣泉站,3630,3436
重庆.圣陈线,重庆.圣泉站,3630,3436,重庆.陈家桥站,3666,3453
重庆.板陈二线,重庆.板桥站,3650,3526,重庆.陈家桥站,3666,3453
重庆.万盘一线,重庆.万县站,3713,3473,华中.九盘站,3946.64,3295.7
重庆.神万二线,重庆.万县站,3713,3473,重庆.神华万州电厂,3846,3335
重庆.长万一线,重庆.万县站,3713,3473,重庆.长寿站,3770,3392
重庆.思长一线,重庆.思源站,3819,3350,重庆.长寿站,3770,3392
华中.盘龙Ⅱ线A,华中.九盘站,3946.64,3295.7,华中.奉节串补站,4000.76,3294.61
华中.盘龙Ⅰ线B,国调.龙泉换流站,4222,2953,华中.奉节串补站,4000.76,3294.61
重庆.横盘二线,华中.九盘站,3946.64,3295.7,重庆.横路电厂,3948.81,3555.22
重庆.长石二线,重庆.长寿站,3770,3392,重庆.石坪站,3606,3548
重庆.马长二线,重庆.长寿站,3770,3392,重庆.五马站,3745,3538
重庆.张马一线,重庆.五马站,3745,3538,重庆.张家坝站,3787,3410
华中.恩渔Ⅰ回线,华中.渔峡站,4052,3389,华中.恩施站,4015,3408
华中.张恩Ⅱ回线,重庆.张家坝站,3787,3410,华中.恩施站,4015,3408
重庆.隆泉一线,重庆.圣泉站,3630,3436,重庆.隆盛站,3746,3433
重庆.张隆一线,重庆.张家坝站,3787,3410,重庆.隆盛站,3746,3433
重庆.水张二线,重庆.张家坝站,3787,3410,重庆.彭水电站,3786,3364
重庆.安隆二线,重庆.隆盛站,3746,3433,重庆.安稳二期电厂,3820,3423
重庆.南隆二线,重庆.隆盛站,3746,3433,重庆.巴南站,3678,3544
重庆.南石一线,重庆.石坪站,3606,3548,重庆.巴南站,3678,3544
重庆.郎隆二线,重庆.隆盛站,3746,3433,重庆.二郎电厂,3819,3440
重庆.珞南二线,重庆.巴南站,3678,3544,重庆.珞璜三期电厂,3743,3517
华东.吕东5601线,华东.东洲,5291.01,3044.1,华东.吕四港厂,5315.6,3030.93
华东.双仲5637线,华东.双草,5195,2957,华东.仲洋,5261.27,2956.58
华东.东洋5644线,华东.东洲,5291.01,3044.1,华东.仲洋,5261.27,2956.58
华东.斗常5267线,华东.斗山,5180,3134,华东.常熟,5193.29,3163.9
华东.陆常5620线,华东.常熟,5193.29,3163.9,华东.陆桥,5194.72,3147.39
华东.斗陆5663线,华东.斗山,5180,3134,华东.陆桥,5194.72,3147.39
华东.茅斗5265线,华东.斗山,5180,3134,华东.茅山,5203.2,3087.69
华东.茅武5648线,华东.武南,5145,3086,华东.茅山,5203.2,3087.69
华东.碧常5623线,华东.常熟,5193.29,3163.9,华东.碧溪厂,5234.5,3174.09
华东.张熟5248线,华东.常熟,5193.29,3163.9,华东.张家港,5133.19,3165.05
华东.晋港5270线,华东.晋陵,5129,3077,华东.张家港,5133.19,3165.05
华东.常仓5654线,华东.常熟,5193.29,3163.9,华东.太仓,5234.85,3139.18
华东.熟牌5656线,华东.常熟,5193.29,3163.9,华东.石牌,5238.41,3157.76
甘肃.3042东定Ⅱ线,西北.兰州东变,3509,2611,甘肃.定西变,3553.12,2630.54
甘肃.30522东和Ⅲ线,西北.兰州东变,3509,2611,甘肃.和平变,3460.7,2634.72
甘肃.3121卧和Ⅰ线,甘肃.和平变,3460.7,2634.72,甘肃.卧龙川变,3471.84,2585.02
甘肃.30520卧东Ⅰ线,西北.兰州东变,3509,2611,甘肃.卧龙川变,3471.84,2585.02
陕西.31499山城1线,西北.南山变,3375,2572,陕西.星城变,3329.99,2530.2
陕西.31525滈山2线,西北.南山变,3375,2572,陕西.滈河变,3299.8,2607.29
陕西.31498盛山2线,西北.南山变,3375,2572,陕西.新盛变,3374.57,2531.6
陕西.31117横龙2线,西北.榆横变,4058,2298,陕西.龙泉变,4019.91,2329.11
陕西.30945龙榆线,陕西.龙泉变,4019.91,2329.11,陕西.榆林变,4043.23,2335.55
陕西.3984横榆1线,西北.榆横变,4058,2298,陕西.榆林变,4043.23,2335.55
陕西.31322横绥2线,西北.榆横变,4058,2298,陕西.绥德变,4129.19,2321.8
陕西.31125横统1线,西北.榆横变,4058,2298,陕西.统万变,4089.12,2331.87
西北.7148麦宝Ⅱ线,国调.宝鸡换流站,3755,2829,西北.麦积山变,3611.29,2779.64
西北.7145麦东Ⅰ线,西北.兰州东变,3509,2611,西北.麦积山变,3611.29,2779.64
